"";"Onderwerp";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde afstand per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing";"Gemiddelde reisduur per verplaatsing"
"";"Regiokenmerken";"Nederland";"Nederland";"Zeer sterk stedelijk";"Zeer sterk stedelijk";"Sterk stedelijk";"Sterk stedelijk";"Matig stedelijk";"Matig stedelijk";"Weinig stedelijk";"Weinig stedelijk";"Niet stedelijk";"Niet stedelijk";"Nederland";"Nederland";"Zeer sterk stedelijk";"Zeer sterk stedelijk";"Sterk stedelijk";"Sterk stedelijk";"Matig stedelijk";"Matig stedelijk";"Weinig stedelijk";"Weinig stedelijk";"Niet stedelijk";"Niet stedelijk"
"";"Perioden";"2019";"2023";"2019";"2023";"2019";"2023";"2019";"2023";"2019";"2023";"2019";"2023";"2019";"2023";"2019";"2023";"2019";"2023";"2019";"2023";"2019";"2023";"2019";"2023"
"Verplaatsingskenmerken";"Reismotieven";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"reizigerskilometers";"minuten";"minuten";"minuten";"minuten";"minuten";"minuten";"minuten";"minuten";"minuten";"minuten";"minuten";"minuten"
"Verplaatsing op donderdag";"Uitgaan, sport, hobby";"10,88";"9,80";"10,26";"8,94";"11,37";"11,23";"9,84";"8,28";"11,12";"10,08";"12,50";"10,05";"25,80";"27,97";"26,17";"29,43";"25,81";"28,07";"28,44";"26,17";"23,56";"28,55";"24,78";"24,75"
"Verplaatsing op donderdag";"Toeren, wandelen";"8,05";"6,86";"6,46";"8,02";"8,40";"6,44";"8,65";"5,94";"7,48";"7,02";"10,89";"6,58";"62,76";"55,11";"56,30";"67,15";"66,24";"52,38";"60,24";"47,86";"68,59";"52,80";"57,09";"52,58"
"Verplaatsing op vrijdag";"Totaal";"12,46";"10,89";"11,47";"9,36";"11,52";"10,85";"12,86";"11,11";"13,70";"12,01";"14,92";"12,44";"26,05";"24,70";"29,29";"27,29";"25,12";"24,25";"24,56";"23,41";"25,15";"23,65";"25,62";"24,12"
"Verplaatsing op vrijdag";"Van en naar het werk";"17,95";"16,91";"15,04";"13,71";"17,14";"17,12";"19,43";"19,14";"20,45";"18,32";"20,01";"15,79";"29,37";"27,14";"32,35";"28,73";"28,67";"28,50";"27,33";"27,88";"29,26";"24,71";"27,94";"23,21"
"Verplaatsing op vrijdag";"Zakelijk, beroepsmatig";"26,84";"24,87";"25,47";"20,19";"20,74";"30,19";"30,52";"22,55";"32,20";"25,76";".";".";"32,63";"30,96";"34,29";"28,76";"27,33";"34,96";"33,91";"30,46";"36,83";"29,30";".";"."
"Verplaatsing op vrijdag";"Winkelen, boodschappen doen";"5,63";"5,01";"4,96";"3,88";"4,57";"4,80";"6,87";"5,07";"6,58";"6,41";"6,72";"5,70";"15,05";"14,16";"16,83";"14,83";"14,24";"14,12";"14,69";"13,56";"14,89";"14,39";"14,71";"12,36"
"Verplaatsing op vrijdag";"Visite, logeren";"19,40";"16,32";"21,52";"18,33";"19,67";"13,87";"21,11";"14,59";"18,16";"16,85";"13,26";"21,90";"29,26";"26,42";"37,62";"33,87";"29,36";"23,45";"27,80";"23,30";"25,76";"24,47";"19,31";"29,74"
"Verplaatsing op vrijdag";"Uitgaan, sport, hobby";"13,84";"13,97";"11,81";"11,02";"14,67";"16,91";"14,15";"13,21";"12,78";"13,47";"21,90";"16,78";"30,63";"29,73";"33,08";"31,67";"31,59";"31,14";"28,27";"26,81";"26,76";"27,80";"33,10";"27,92"
"Verplaatsing op vrijdag";"Toeren, wandelen";"7,43";"6,27";"7,66";"5,66";"7,71";"5,32";"6,48";"6,64";"7,79";"7,60";"6,60";"7,47";"61,41";"54,02";"75,11";"63,15";"58,85";"49,41";"56,53";"48,30";"61,17";"55,68";"49,91";"53,08"
"Verplaatsing op zaterdag";"Totaal";"13,12";"12,38";"12,07";"11,77";"12,84";"12,79";"13,36";"11,40";"13,55";"12,54";"15,44";"14,55";"27,88";"27,87";"30,63";"31,17";"27,80";"28,20";"26,81";"25,88";"26,12";"25,15";"27,96";"28,17"
"Verplaatsing op zaterdag";"Van en naar het werk";"13,68";"12,82";"10,96";"11,44";"13,64";"12,37";"12,89";"12,18";"12,59";"16,28";".";"9,63";"23,75";"23,66";"25,68";"25,63";"24,18";"24,82";"20,86";"20,12";"21,93";"25,13";"27,38";"19,86"
"Verplaatsing op zaterdag";"Zakelijk, beroepsmatig";"17,37";"18,76";".";".";".";".";".";".";".";".";".";".";"29,24";"29,53";".";".";".";".";".";".";".";".";".";"."
"Verplaatsing op zaterdag";"Winkelen, boodschappen doen";"6,93";"5,98";"4,96";"4,95";"6,79";"6,00";"7,75";"5,79";"7,93";"6,80";"9,07";"7,67";"16,56";"15,44";"16,19";"16,40";"16,75";"15,50";"16,79";"14,87";"16,54";"14,78";"16,43";"14,93"
"Verplaatsing op zaterdag";"Visite, logeren";"23,90";"22,45";"27,98";"25,13";"22,00";"21,68";"25,25";"21,30";"21,08";"20,40";"25,96";"25,97";"31,61";"31,18";"40,43";"38,54";"30,06";"29,63";"30,21";"28,71";"25,50";"26,07";"35,44";"35,41"
"Verplaatsing op zaterdag";"Uitgaan, sport, hobby";"15,19";"15,65";"12,71";"13,84";"15,59";"17,99";"14,45";"13,43";"17,14";"15,78";"16,40";"17,94";"31,19";"32,58";"34,92";"36,57";"32,02";"34,90";"28,98";"27,46";"27,88";"29,28";"31,98";"28,66"
"Verplaatsing op zaterdag";"Toeren, wandelen";"11,15";"8,90";"9,87";"8,98";"11,15";"9,20";"12,98";"8,72";"11,23";"8,49";"10,54";"9,09";"77,05";"65,42";"88,22";"76,84";"72,98";"64,14";"73,34";"62,98";"77,27";"57,27";"71,15";"69,46"
"Bron: CBS"
